"Consequent","implies","Items (#1)","Support","Confidence","Lift"
"poultry","<---","ice cream, aluminum foil",0.09043020193151888,0.5124378109452736,1.2159722222222222
"aluminum foil","<---","ice cream, cheeses",0.09043020193151888,0.5049019607843137,1.3129756468797564
"poultry","<---","ice cream, cheeses",0.0913081650570676,0.5098039215686274,1.2097222222222221
"eggs","<---","ice cream, soda",0.08955223880597014,0.53125,1.3628237612612613
"waffles","<---","ice cream, soda",0.09043020193151888,0.5364583333333334,1.3608597809948033
"soda","<---","ice cream, waffles",0.09043020193151888,0.5228426395939086,1.3382421719044089
"lunch meat","<---","individual meals",0.17734855136084285,0.4719626168224299,1.194589823468328
"poultry","<---","individual meals",0.17032484635645304,0.4532710280373832,1.0755743769470405
"yogurt","<---","juice, aluminum foil",0.09306409130816505,0.5408163265306122,1.406369397073898
"poultry","<---","juice, aluminum foil",0.09569798068481124,0.5561224489795918,1.3196322278911565
"shampoo","<---","juice",0.17032484635645304,0.4522144522144522,1.2263625263625264
"spaghetti sauce","<---","juice",0.17208077260755048,0.45687645687645684,1.2244289044289043
"yogurt","<---","juice",0.17647058823529413,0.4685314685314686,1.2183957594916501
"toilet paper","<---","juice",0.17208077260755048,0.45687645687645684,1.2073834904461354
"aluminum foil","<---","juice",0.17208077260755048,0.45687645687645684,1.1880874072654894
"poultry","<---","juice",0.17647058823529413,0.4685314685314686,1.1117861305361307
"poultry","<---","laundry detergent",0.17471466198419666,0.4617169373549884,1.0956158159319414
"poultry","<---","lunch meat, sugar",0.08955223880597014,0.5543478260869565,1.315421195652174
"waffles","<---","lunch meat",0.18437225636523266,0.4666666666666667,1.1838158871566444
"poultry","<---","lunch meat",0.1861281826163301,0.4711111111111111,1.1179074074074073
"poultry","<---","milk, laundry detergent",0.08955223880597014,0.5396825396825397,1.280621693121693
"soda","<---","milk",0.17295873573309922,0.45496535796766746,1.164506837584659
"cereals","<---","milk",0.17383669885864794,0.45727482678983833,1.154847068101166
"poultry","<---","milk",0.17822651448639157,0.4688221709006928,1.1124759430331022
"poultry","<---","mixes, aluminum foil",0.09043020193151888,0.5255102040816327,1.2469919217687075
"dishwashing liquid/detergent","<---","mixes",0.17998244073748904,0.47897196261682246,1.234273903666427
"aluminum foil","<---","mixes",0.17208077260755048,0.45794392523364486,1.1908633124226518
"cereals","<---","mixes",0.17383669885864794,0.46261682242990654,1.1683382721677684
"poultry","<---","mixes",0.18173836698858647,0.4836448598130841,1.1476489485981307
"pasta","<---","paper towels",0.16417910447761194,0.45278450363196127,1.2191998809380706
"ice cream","<---","paper towels",0.17032484635645304,0.46973365617433416,1.1784727629571952
"eggs","<---","paper towels",0.16593503072870938,0.45762711864406774,1.1739578561612458
"lunch meat","<---","paper towels",0.16505706760316066,0.4552058111380145,1.1521764864137745
"cereals","<---","paper towels",0.16417910447761194,0.45278450363196127,1.1435067619441328
"dinner rolls","<---","pasta, soda",0.09043020193151888,0.533678756476684,1.372144703446824
"eggs","<---","pasta, soda",0.08955223880597014,0.5284974093264249,1.3557624982495449
"dinner rolls","<---","pasta",0.17295873573309922,0.46572104018912536,1.1974182049106405
"eggs","<---","pasta",0.1694468832309043,0.4562647754137116,1.170463016207697
"soda","<---","pasta",0.1694468832309043,0.4562647754137116,1.167832762238691
"ice cream","<---","pasta",0.16769095697980685,0.45153664302600477,1.132819903979338
"poultry","<---","pork",0.16417910447761194,0.4617283950617284,1.0956430041152263
"juice","<---","poultry, aluminum foil",0.09569798068481124,0.545,1.4469813519813521
"mixes","<---","poultry, aluminum foil",0.09043020193151888,0.515,1.3705257009345795
"ice cream","<---","poultry, aluminum foil",0.09043020193151888,0.515,1.2920374449339207
"dinner rolls","<---","poultry, cereals",0.09218612818261633,0.5097087378640777,1.3105152424992876
"dishwashing liquid/detergent","<---","poultry, cereals",0.09043020193151888,0.5,1.2884615384615383
"ice cream","<---","poultry, cheeses",0.0913081650570676,0.5048543689320388,1.2665839784440358
"aluminum foil","<---","poultry, ice cream",0.09043020193151888,0.5049019607843137,1.3129756468797564
"cheeses","<---","poultry, ice cream",0.0913081650570676,0.5098039215686274,1.304868913857678
"aluminum foil","<---","poultry, juice",0.09569798068481124,0.5422885572139303,1.4101978691019788
"milk","<---","poultry, laundry detergent",0.08955223880597014,0.5125628140703518,1.34828878805111
"dinner rolls","<---","poultry, laundry detergent",0.08955223880597014,0.5125628140703518,1.317853375228286
"sugar","<---","poultry, lunch meat",0.08955223880597014,0.4811320754716981,1.3333562870128082
"dinner rolls","<---","poultry, lunch meat",0.0913081650570676,0.49056603773584906,1.2612973295285148
"dishwashing liquid/detergent","<---","poultry, lunch meat",0.08955223880597014,0.4811320754716981,1.2398403483309144
"laundry detergent","<---","poultry, milk",0.08955223880597014,0.5024630541871921,1.3278547998125563
"dishwashing liquid/detergent","<---","poultry, mixes",0.09482001755926252,0.5217391304347827,1.3444816053511708
"aluminum foil","<---","poultry, mixes",0.09043020193151888,0.497584541062802,1.293947014316282
"yogurt","<---","poultry, mixes",0.08955223880597014,0.49275362318840576,1.281384421944279
"dinner rolls","<---","poultry, mixes",0.09043020193151888,0.497584541062802,1.2793426462088746
"eggs","<---","poultry, soda",0.0913081650570676,0.5279187817258882,1.3542781360040241
"lunch meat","<---","poultry, sugar",0.08955223880597014,0.5,1.2655555555555555
"dinner rolls","<---","poultry",0.19490781387181738,0.46249999999999997,1.1891365688487583
"cheeses","<---","sandwich bags",0.1694468832309043,0.46062052505966583,1.1789815236920436
"poultry","<---","sandwich bags",0.17208077260755048,0.467780429594272,1.1100039777247412
"individual meals","<---","sandwich loaves",0.15978928884986832,0.45728643216080406,1.2169374911942894
"soap","<---","sandwich loaves",0.15803336259877085,0.45226130653266333,1.1924204355108878
"ice cream","<---","sandwich loaves",0.15803336259877085,0.45226130653266333,1.1346379474464836
"poultry","<---","sandwich loaves",0.16330114135206322,0.46733668341708545,1.1089510050251257
"poultry","<---","shampoo, dinner rolls",0.08955223880597014,0.5284974093264249,1.254080310880829
"dinner rolls","<---","shampoo, poultry",0.08955223880597014,0.523076923076923,1.3448862649765583
"juice","<---","shampoo",0.17032484635645304,0.46190476190476193,1.2263625263625264
"dinner rolls","<---","shampoo",0.1694468832309043,0.4595238095238095,1.1814844673761151
"poultry","<---","shampoo",0.17120280948200176,0.4642857142857143,1.1017113095238096
"soda","<---","soap",0.17471466198419666,0.4606481481481481,1.179052226383687
"waffles","<---","soap",0.17295873573309922,0.45601851851851855,1.1568042151282687
"poultry","<---","soap",0.18349429323968394,0.4837962962962963,1.1480082947530863
"eggs","<---","soda, soap",0.09218612818261633,0.5276381909547739,1.3535583322015485
"waffles","<---","soda, soap",0.08955223880597014,0.5125628140703518,1.3002428624189992
"eggs","<---","soda",0.18700614574187885,0.4786516853932585,1.227892499240814
"waffles","<---","soda",0.17734855136084285,0.45393258426966293,1.151512724906784
"dinner rolls","<---","spaghetti sauce, poultry",0.09920983318700614,0.5794871794871794,1.4899230190426578
"juice","<---","spaghetti sauce",0.17208077260755048,0.46117647058823524,1.2244289044289043
"dinner rolls","<---","spaghetti sauce",0.17208077260755048,0.46117647058823524,1.1857336343115124
"lunch meat","<---","spaghetti sauce",0.16856892010535557,0.4517647058823529,1.1434666666666666
"poultry","<---","spaghetti sauce",0.17120280948200176,0.4588235294117647,1.0887499999999999
"poultry","<---","sugar",0.1791044776119403,0.4963503649635036,1.1777980535279804
"dinner rolls","<---","sugar",0.16417910447761194,0.45498783454987834,1.1698219944747437
"soda","<---","sugar",0.16242317822651448,0.4501216545012165,1.1521091336559226
"juice","<---","toilet paper",0.17208077260755048,0.4547563805104408,1.2073834904461354
"waffles","<---","toilet paper",0.17295873573309922,0.4570765661252901,1.1594882156274062
"poultry","<---","toilet paper",0.17120280948200176,0.45243619489559167,1.0735933874709978
"poultry","<---","tortillas",0.17120280948200176,0.46318289786223277,1.0990944180522564
"soda","<---","waffles, soap",0.08955223880597014,0.5177664974619288,1.3252495294587348
"soap","<---","waffles, soda",0.08955223880597014,0.504950495049505,1.3313393839383938
"ice cream","<---","waffles, soda",0.09043020193151888,0.5099009900990099,1.27924499498408
"lunch meat","<---","waffles",0.18437225636523266,0.4677060133630289,1.1838158871566442
"juice","<---","yogurt, aluminum foil",0.09306409130816505,0.5247524752475247,1.393223937778393
"aluminum foil","<---","yogurt, juice",0.09306409130816505,0.5273631840796019,1.3713850837138508
"poultry","<---","yogurt, mixes",0.08955223880597014,0.5425531914893617,1.2874335106382977
"mixes","<---","yogurt, poultry",0.08955223880597014,0.4951456310679611,1.3176889574448778
"juice","<---","yogurt",0.17647058823529413,0.45890410958904115,1.2183957594916501
"aluminum foil","<---","yogurt",0.17734855136084285,0.4611872146118722,1.1992973457600968
"eggs","<---","yogurt",0.17471466198419666,0.454337899543379,1.1655199720268214
"waffles","<---","yogurt",0.17383669885864794,0.452054794520548,1.1467492448973367
"poultry","<---","yogurt",0.18086040386303776,0.4703196347031964,1.116029299847793
